restaurant_name,restaurant_id
'wichcraft,1001
12 Chairs,1002
5 Napkin Burger,1003
67 Burger,1004
Alidoro,1005
Amma,1006
Amy Ruth's,1007
Anjappar Chettinad,1008
Asuka Sushi,1009
Aurora,1010
Balade,1011
Balthazar Boulangerie,1012
Barbounia,1013
Bareburger,1014
Benihana,1015
Bhatti Indian Grill,1016
Big Daddy's,1017
Big Wong Restaurant _¤¾Ñ¼,1018
Bistango,1019
Blue Ribbon Brooklyn,1020
Blue Ribbon Fried Chicken,1021
Blue Ribbon Sushi,1022
Blue Ribbon Sushi Bar & Grill,1023
Blue Ribbon Sushi Izakaya,1024
Boqueria,1025
Bubby's ,1026
Bukhara Grill,1027
Burger Joint,1028
Byblos Restaurant,1029
Cafe Habana,1030
Cafe Mogador,1031
Cafe de La Esquina,1032
Cafeteria,1033
CafÌ© China,1034
Carmine's,1035
Chipotle Mexican Grill $1.99 Delivery,1036
Cho Dang Gol,1037
Chola Eclectic Indian Cuisine,1038
Chote Nawab,1039
Cipriani Le Specialita,1040
Coppola's East,1041
Crema Restaurante,1042
Delicatessen,1043
DespaÌ±a,1044
Dickson's Farmstand Meats,1045
Dig Inn Seasonal Market,1046
Dirty Bird To Go (archived),1047
Dirty Bird to Go,1048
Don's Bogam BBQ & Wine Bar,1049
Donburi-ya,1050
Dos Caminos,1051
Dos Caminos Soho,1052
DuMont Burger,1053
El Parador Cafe,1054
Empanada Mama (closed),1055
Emporio,1056
Five Guys Burgers and Fries,1057
Five Leaves,1058
Frank Restaurant,1059
Friend of a Farmer,1060
Gaia Italian Cafe,1061
Galli Restaurant,1062
Go! Go! Curry!,1063
Grand Sichuan International,1064
Haandi,1065
Hampton Chutney Co.,1066
Han Dynasty,1067
Hangawi,1068
Haru Gramercy Park,1069
Hatsuhana,1070
Haveli Indian Restaurant,1071
Hibino,1072
Hill Country Fried Chicken,1073
Hiroko's Place,1074
Hot Kitchen,1075
Hummus Place,1076
Hunan Manor,1077
Il Bambino,1078
Izakaya Ten,1079
J. G. Melon,1080
Jack's Wife Freda,1081
Joe's Shanghai _Àü£¾÷´,1082
Junoon,1083
Kambi Ramen House,1084
Kanoyama,1085
Klong,1086
Kori Restaurant and Bar,1087
L'Express,1088
La Follia,1089
Lamarca Pasta,1090
Lantern Thai Kitchen,1091
Le Grainne Cafe,1092
Le Zie 2000 Trattoria,1093
Lucky Strike,1094
Lucky's Famous Burgers,1095
Mamoun's Falafel,1096
Market Table,1097
Melt Shop,1098
Mira Sushi,1099
Mission Cantina,1100
Momoya,1101
Moonstruck on Second,1102
Nha Trang One,1103
Nobu Next Door,1104
Olea,1105
Olive Garden,1106
Osteria Morini,1107
Otto Enoteca Pizzeria,1108
P.J. Clarke's,1109
Parm,1110
Paul & Jimmy's,1111
Pepe Giallo,1112
Pepe Rosso To Go,1113
Philippe Chow,1114
Piccolo Angolo,1115
Pinto Nouveau Thai Bistro,1116
Pongsri Thai,1117
Posto,1118
Prosperity Dumpling,1119
Pylos,1120
Ravagh Persian Grill,1121
RedFarm Broadway,1122
RedFarm Hudson,1123
Rohm Thai,1124
Room Service,1125
Rubirosa,1126
Rye House,1127
S'MAC,1128
Samurai Mama,1129
Sarabeth's,1130
Sarabeth's East,1131
Sarabeth's Restaurant,1132
Sarabeth's West,1133
Saravanaa Bhavan,1134
Schnipper's Quality Kitchen,1135
Serafina Fabulous Pizza,1136
Shake Shack,1137
Socarrat Paella Bar,1138
Song Thai Restaurant & Bar,1139
Spice Thai,1140
Sushi Choshi,1141
Sushi Samba,1142
Sushi of Gari,1143
Sushi of Gari 46,1144
Sushi of Gari Tribeca,1145
TAO,1146
Tamarind TriBeCa,1147
Tarallucci e Vino Restaurant,1148
Taro Sushi,1149
Terakawa Ramen,1150
The Kati Roll Company,1151
The Loop,1152
The MasalaWala,1153
The Meatball Shop,1154
The Odeon,1155
The Smile,1156
Tony's Di Napoli,1157
Tortaria,1158
Tres Carnes,1159
UVA Wine Bar & Restaurant,1160
V-Nam Cafe,1161
Vanessa's Dumpling House,1162
Vanessa's Dumplings,1163
Vezzo Thin Crust Pizza,1164
Wa Jeal,1165
Waverly Diner,1166
Westville Hudson,1167
Wo Hop Restaurant,1168
Woorijip,1169
Xe May Sandwich Shop,1170
Xi'an Famous Foods,1171
Yama 49,1172
Yama Japanese Restaurant,1173
Zero Otto Nove,1174
brgr,1175
da Umberto,1176
ilili Restaurant,1177
indikitch,1178
